iter	MultiClass
0	1.066983893
1	1.039266431
2	1.014304711
3	0.9916411372
4	0.9706181839
5	0.951357706
6	0.933860675
7	0.9181039612
8	0.9031197359
9	0.8892442812
10	0.8763993014
11	0.8646359617
12	0.8536840986
13	0.8435615824
14	0.8341629063
15	0.8254401379
16	0.8176465962
17	0.8099764997
18	0.8031539282
19	0.796531476
20	0.7903871809
21	0.7845401321
22	0.7792402019
23	0.7742719363
24	0.7695212523
25	0.7649698816
26	0.7610236342
27	0.7568155939
28	0.7529803187
29	0.7494881869
30	0.7460931773
31	0.743129865
32	0.7404738621
33	0.7377538866
34	0.7354790287
35	0.7330766305
36	0.730784391
37	0.728495097
38	0.7264633368
39	0.7246828024
40	0.7227802469
41	0.7210743552
42	0.7193288383
43	0.7177982063
44	0.716105025
45	0.7144500949
46	0.7132650254
47	0.7117161586
48	0.7103701584
49	0.7092002668
50	0.7081635876
51	0.7068998286
52	0.7059103551
53	0.7047938653
54	0.7037747823
55	0.7028118126
56	0.7018866897
57	0.7011412198
58	0.7002303045
59	0.699337572
60	0.6985800112
61	0.6975735215
62	0.6968925632
63	0.6962785122
64	0.6955893966
65	0.6947966597
66	0.6940653159
67	0.6934589042
68	0.6929971444
69	0.6924790168
70	0.6917985875
71	0.6912673219
72	0.6906816825
73	0.690219093
74	0.6896861811
75	0.6891857327
76	0.6887163528
77	0.688301691
78	0.6879459563
79	0.687597788
80	0.6872277869
81	0.6868703096
82	0.686570861
83	0.6861363071
84	0.6857678749
85	0.6854651538
86	0.685123049
87	0.6847661272
88	0.6844148079
89	0.6842541426
90	0.6839360738
91	0.6835148925
92	0.683175481
93	0.6826735604
94	0.6822853123
95	0.6820288874
96	0.6817895818
97	0.6815447039
98	0.6812905213
99	0.6808711879
100	0.680619596
101	0.6803800782
102	0.6799793374
103	0.67961969
104	0.6793132619
105	0.6789838752
106	0.6786229367
107	0.6784689247
108	0.6781995451
109	0.6779534052
110	0.6776464814
111	0.6773154467
112	0.6769846025
113	0.6765367431
114	0.6761321719
115	0.6759462495
116	0.6757138465
117	0.675529933
118	0.675103851
119	0.6749121269
120	0.6747207786
121	0.6745543961
122	0.6743799712
123	0.6742123179
124	0.6740142084
125	0.673727378
126	0.6734897909
127	0.6733420591
128	0.6731776775
129	0.6729640471
130	0.6727353477
131	0.6725256962
132	0.6723282146
133	0.6720826632
134	0.671882109
135	0.6717037357
136	0.6715173509
137	0.671221533
138	0.6710721045
139	0.6709161827
140	0.6706272279
141	0.6704505981
142	0.6701471548
143	0.6697665377
144	0.6695331542
145	0.6692392208
146	0.6690425632
147	0.6688601339
148	0.6686830341
149	0.6684087285
150	0.6682185294
151	0.6680794681
152	0.6678603052
153	0.6677002703
154	0.6675232439
155	0.6672629803
156	0.667047493
157	0.6669009381
158	0.6666259755
159	0.6664675551
160	0.6661979803
161	0.666064023
162	0.6659605413
163	0.6658082909
164	0.6656651437
165	0.6654621707
166	0.6653022285
167	0.6651612474
168	0.6650550268
169	0.664933548
170	0.6647289224
171	0.6645165165
172	0.6643762765
173	0.6641385367
174	0.6639637512
175	0.6638404446
176	0.6636886847
177	0.6635029664
178	0.6632845785
179	0.6631363123
180	0.6630147515
181	0.6628977581
182	0.6628020426
183	0.6626335215
184	0.6623488933
185	0.6622128113
186	0.6621537874
187	0.6620111371
188	0.6618984914
189	0.661778959
190	0.6616213792
191	0.6614324818
192	0.6612020799
193	0.6610510219
194	0.6606632167
195	0.6605393768
196	0.6603906712
197	0.6602290559
198	0.6600456955
199	0.6598150747
200	0.6595676264
201	0.6593675738
202	0.6592421232
203	0.6590163102
204	0.6588423435
205	0.6587539906
206	0.6586520302
207	0.6585411205
208	0.6584618633
209	0.6582576364
210	0.6581506689
211	0.6579986137
212	0.6578110773
213	0.6575502237
214	0.6574162647
215	0.657309916
216	0.6572041866
217	0.6570613155
218	0.6567963596
219	0.6566768125
220	0.6565510761
221	0.6564304103
222	0.6561947222
223	0.6560479206
224	0.6558738934
225	0.6557641313
226	0.6555928199
227	0.6553918048
228	0.6552592404
229	0.6550611072
230	0.6549364606
231	0.6547823183
232	0.6546269005
233	0.6544803156
234	0.6543952159
235	0.6542517555
236	0.6540893826
237	0.6539180578
238	0.6538037386
239	0.6536239512
240	0.6534420143
241	0.6532949896
242	0.6531360793
243	0.6530188726
244	0.6527436564
245	0.6525277477
246	0.6523515015
247	0.6521327483
248	0.6520061076
249	0.6518581739
250	0.6517477246
251	0.6516080171
252	0.651470629
253	0.6512002811
254	0.6510687782
255	0.6509124297
256	0.650789321
257	0.6506681059
258	0.6505402855
259	0.6504142444
260	0.6501976313
261	0.6500978508
262	0.6499778453
263	0.6498087023
264	0.6496693545
265	0.6494625862
266	0.6492598334
267	0.6491239277
268	0.6489298801
269	0.6486999205
270	0.6485679363
271	0.6484354692
272	0.6482878401
273	0.6481894501
274	0.6479447723
275	0.6477961504
276	0.6476624715
277	0.64748735
278	0.6473258751
279	0.6471959119
280	0.647060035
281	0.6468799231
282	0.6466833855
283	0.6464914038
284	0.6463581165
285	0.646159658
286	0.6459642785
287	0.6458309255
288	0.6456517489
289	0.6455155141
290	0.6453911535
291	0.6452711508
292	0.6451429513
293	0.6448554541
294	0.6446353879
295	0.6445178569
296	0.6443952354
297	0.6442309558
298	0.6440687648
299	0.6438848663
300	0.643728301
301	0.6435788927
302	0.6433908414
303	0.6432676176
304	0.6431320971
305	0.6429890165
306	0.6428475407
307	0.6427236878
308	0.6425497571
309	0.6423989482
310	0.6422828818
311	0.6422056051
312	0.6420802173
313	0.641912466
314	0.6418300964
315	0.6417119965
316	0.6415340566
317	0.6414379856
318	0.6413377943
319	0.6412411743
320	0.6411431806
321	0.6409127124
322	0.640837154
323	0.6407201351
324	0.6405971086
325	0.640353518
326	0.6402317623
327	0.6401218575
328	0.640008072
329	0.6398744017
330	0.6396606293
331	0.6394315396
332	0.6392961437
333	0.6392282278
334	0.6391123975
335	0.6390204911
336	0.6388526367
337	0.6386823529
338	0.6385735996
339	0.6384405585
340	0.6383268207
341	0.6381907047
342	0.6380306739
343	0.6379283578
344	0.6377648157
345	0.6376582014
346	0.6375580247
347	0.6373967501
348	0.6372277731
349	0.6370794073
350	0.6369641344
351	0.6368557671
352	0.6367248044
353	0.6366097458
354	0.6364407146
355	0.6363069348
356	0.6362078894
357	0.6360226019
358	0.6358844098
359	0.6356960794
360	0.6355529083
361	0.6354648017
362	0.6353794496
363	0.6352261326
364	0.6351205677
365	0.6350265111
366	0.634942505
367	0.6348680472
368	0.6347284304
369	0.6345851874
370	0.634504903
371	0.6342699921
372	0.6341409749
373	0.6340416234
374	0.6339465517
375	0.6337741804
376	0.6336875721
377	0.6335393962
378	0.6333663336
379	0.6332433666
380	0.6331678983
381	0.6330177888
382	0.6329169006
383	0.632793457
384	0.6327284753
385	0.6325756793
386	0.6325063467
387	0.6324242122
388	0.6323312944
389	0.6322319029
390	0.6321208549
391	0.6320325049
392	0.6319537012
393	0.6318460132
394	0.6317580347
395	0.6316369344
396	0.6315500701
397	0.631469523
398	0.6313360868
399	0.6311846092
400	0.6310923772
401	0.631003454
402	0.6309021972
403	0.6308055097
404	0.6306429559
405	0.6305214107
406	0.630412605
407	0.63032063
408	0.6302061165
409	0.6301184829
410	0.6300219092
411	0.6298731086
412	0.6298216887
413	0.6297226242
414	0.6295896847
415	0.629524495
416	0.6294293513
417	0.6293403783
418	0.6292188822
419	0.6291140069
420	0.629057253
421	0.6289866211
422	0.6288997965
423	0.6288449965
424	0.6287212495
425	0.6286044847
426	0.628501888
427	0.6284291434
428	0.6283106128
429	0.6282176478
430	0.6281209005
431	0.6279793162
432	0.6278700985
433	0.6277799267
434	0.6277085176
435	0.6275683474
436	0.6274157376
437	0.6272928002
438	0.6271702847
439	0.627056288
440	0.6269362445
441	0.6268531018
442	0.6267695551
443	0.6267007485
444	0.6265559937
445	0.6264556965
446	0.6263341563
447	0.6262050301
448	0.6261289928
449	0.6260760522
450	0.6259616943
451	0.625896499
452	0.6257966308
453	0.6257030562
454	0.6256095266
455	0.6254647646
456	0.6253524043
457	0.6252710792
458	0.625202558
459	0.6251400383
460	0.6250087265
461	0.6248780267
462	0.6248128189
463	0.6247023772
464	0.6246451064
465	0.6245379073
466	0.624485612
467	0.6243040754
468	0.6242100559
469	0.624158488
470	0.6241011185
471	0.6239696227
472	0.6238373469
473	0.6236936387
474	0.6235860851
475	0.6235038091
476	0.62342569
477	0.6233178668
478	0.6232637887
479	0.623160376
480	0.6230400737
481	0.6229070402
482	0.622836796
483	0.622740307
484	0.6226169794
485	0.6225462635
486	0.6224594592
487	0.6223631992
488	0.6222756144
489	0.6222080098
490	0.6221039604
491	0.622013534
492	0.6219447792
493	0.6218363846
494	0.6217284646
495	0.6216006999
496	0.6215096495
497	0.6214532933
498	0.6214143666
499	0.6213090078
