iter	Passed	Remaining
0	119	59805
1	261	65074
2	360	59643
3	460	57105
4	540	53503
5	609	50177
6	690	48612
7	777	47820
8	854	46601
9	927	45435
10	1123	49924
11	1227	49918
12	1324	49628
13	1422	49386
14	1560	50446
15	1645	49775
16	1740	49439
17	1822	48804
18	1898	48059
19	1971	47306
20	2049	46740
21	2121	46091
22	2210	45834
23	2378	47170
24	2581	49052
25	2681	48884
26	2758	48316
27	2835	47802
28	2910	47266
29	3013	47209
30	3091	46763
31	3160	46225
32	3294	46621
33	3384	46393
34	3459	45957
35	3556	45839
36	3639	45536
37	3728	45333
38	3812	45061
39	3899	44847
40	4003	44821
41	4077	44462
42	4250	45170
43	4352	45105
44	4436	44857
45	4548	44888
46	4642	44744
47	4733	44577
48	4854	44681
49	5053	45477
50	5159	45426
51	5234	45093
52	5315	44830
53	5400	44600
54	5481	44350
55	5575	44203
56	5664	44027
57	5748	43809
58	5823	43529
59	5900	43269
60	5992	43125
61	6067	42865
62	6156	42705
63	6236	42485
64	6318	42285
65	6398	42075
66	6468	41804
67	6551	41622
68	6645	41507
69	6740	41406
70	6833	41288
71	6918	41125
72	7001	40955
73	7076	40735
74	7155	40548
75	7257	40489
76	7345	40351
77	7425	40174
78	7491	39925
79	7562	39705
80	7644	39542
81	7735	39430
82	7821	39296
83	7895	39103
84	7985	38990
85	8074	38870
86	8156	38721
87	8229	38529
88	8298	38323
89	8395	38245
90	8462	38035
91	8545	37899
92	8626	37752
93	8693	37549
94	8774	37405
95	8855	37266
96	8944	37162
97	9022	37009
98	9100	36860
99	9178	36712
100	9276	36648
101	9369	36560
102	9445	36405
103	9524	36266
104	9592	36087
105	9668	35938
106	9764	35863
107	9877	35853
108	9964	35744
109	10053	35642
110	10132	35507
111	10207	35360
112	10285	35225
113	10363	35091
114	10448	34981
115	10541	34897
116	10625	34781
117	10715	34690
118	10791	34550
119	10900	34517
120	10985	34408
121	11067	34291
122	11148	34171
123	11230	34054
124	11305	33915
125	11397	33832
126	11475	33703
127	11559	33594
128	11645	33493
129	11719	33356
130	11813	33277
131	11896	33166
132	11980	33060
133	12059	32938
134	12145	32836
135	12245	32773
136	12341	32701
137	12468	32708
138	12574	32656
139	12651	32533
140	12739	32436
141	12837	32365
142	12902	32210
143	12982	32096
144	13076	32014
145	13162	31914
146	13255	31831
147	13354	31762
148	13425	31626
149	13523	31553
150	13619	31478
151	13707	31383
152	13794	31284
153	13895	31220
154	14002	31167
155	14080	31048
156	14170	30959
157	14251	30848
158	14332	30739
159	14424	30651
160	14505	30542
161	14590	30441
162	14678	30348
163	14763	30247
164	14843	30137
165	14923	30026
166	15012	29934
167	15092	29826
168	15175	29722
169	15265	29632
170	15342	29519
171	15431	29426
172	15530	29354
173	15623	29272
174	15720	29196
175	15809	29104
176	15909	29032
177	15994	28934
178	16086	28848
179	16170	28746
180	16269	28673
181	16361	28587
182	16440	28479
183	16510	28354
184	16587	28243
185	16664	28132
186	16756	28047
187	16843	27952
188	16932	27862
189	17018	27767
190	17096	27657
191	17173	27549
192	17256	27450
193	17336	27345
194	17413	27236
195	17510	27158
196	17599	27069
197	17685	26974
198	17776	26887
199	17867	26801
200	17942	26690
201	18039	26612
202	18120	26511
203	18201	26409
204	18276	26299
205	18367	26214
206	18452	26118
207	18539	26026
208	18627	25936
209	18709	25837
